EITC_id,dataset,statecode,statistic,statid,year,data,Statename,NDecimals,StateAbbrev
153,EIC,47,EIC_totalreturns_state,301,1998,441337.0,Virginia,2.0,VA
154,EIC,48,EIC_totalreturns_state,301,1998,311202.0,Washington,2.0,WA
155,EIC,49,EIC_totalreturns_state,301,1998,138238.0,West Virginia,2.0,WV
156,EIC,50,EIC_totalreturns_state,301,1998,249342.0,Wisconsin,2.0,WI
157,EIC,51,EIC_totalreturns_state,301,1998,32441.0,Wyoming,2.0,WY
158,EIC,99,EIC_totalreturns_state,301,1999,19207256.0,United States,2.0,US
159,EIC,1,EIC_totalreturns_state,301,1999,440060.0,Alabama,2.0,AL
160,EIC,2,EIC_totalreturns_state,301,1999,30374.0,Alaska,2.0,AK
161,EIC,3,EIC_totalreturns_state,301,1999,336523.0,Arizona,2.0,AZ
162,EIC,4,EIC_totalreturns_state,301,1999,246868.0,Arkansas,2.0,AR
163,EIC,5,EIC_totalreturns_state,301,1999,2334947.0,California,2.0,CA
164,EIC,6,EIC_totalreturns_state,301,1999,227264.0,Colorado,2.0,CO
165,EIC,7,EIC_totalreturns_state,301,1999,144554.0,Connecticut,2.0,CT
166,EIC,8,EIC_totalreturns_state,301,1999,48760.0,Delaware,2.0,DE
167,EIC,9,EIC_totalreturns_state,301,1999,51685.0,D.C.,2.0,DC
168,EIC,10,EIC_totalreturns_state,301,1999,1289189.0,Florida,2.0,FL
169,EIC,11,EIC_totalreturns_state,301,1999,704750.0,Georgia,2.0,GA
170,EIC,12,EIC_totalreturns_state,301,1999,66632.0,Hawaii,2.0,HI
171,EIC,13,EIC_totalreturns_state,301,1999,82080.0,Idaho,2.0,ID
172,EIC,14,EIC_totalreturns_state,301,1999,752237.0,Illinois,2.0,IL
173,EIC,15,EIC_totalreturns_state,301,1999,356503.0,Indiana,2.0,IN
174,EIC,16,EIC_totalreturns_state,301,1999,143521.0,Iowa,2.0,IA
175,EIC,17,EIC_totalreturns_state,301,1999,143887.0,Kansas,2.0,KS
